ID: 5692549928996306990, Position: (10.774357795715332, -109.29606628417969, -1.2696759700775146), Name: object, Bounding Box: {'max': [12.449999809265137, -108.74282836914062, -1.0291775465011597], 'min': [9.938799858093262, -110.05000305175781, -1.5064523220062256], 'type': 'AABB', 'world_P_center': [11.1943998336792, -109.39641571044922, -1.2678148746490479], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996306992, Position: (10.564947128295898, -109.18626403808594, -1.2090319395065308), Name: building, Bounding Box: {'max': [11.15000057220459, -108.83094024658203, -1.1046150922775269], 'min': [10.15000057220459, -109.46344757080078, -1.428038477897644], 'type': 'AABB', 'world_P_center': [10.65000057220459, -109.1471939086914, -1.2663267850875854], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996306995, Position: (26.958477020263672, -103.050537109375, -1.3401882648468018), Name: building, Bounding Box: {'max': [29.250001907348633, -101.52641296386719, -1.2327734231948853], 'min': [24.649999618530273, -105.44999694824219, -1.4170029163360596], 'type': 'AABB', 'world_P_center': [26.950000762939453, -103.48820495605469, -1.3248882293701172], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996306996, Position: (30.061595916748047, -101.55545043945312, 0.06266173720359802), Name: building, Bounding Box: {'max': [31.19156265258789, -101.44316101074219, 1.4500000476837158], 'min': [28.530027389526367, -101.70933532714844, -1.081600308418274], 'type': 'AABB', 'world_P_center': [29.860794067382812, -101.57624816894531, 0.18419986963272095], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996306997, Position: (67.686279296875, -95.81253814697266, -0.5428730845451355), Name: vehicle, Bounding Box: {'max': [68.05000305175781, -95.1021499633789, -0.009027648717164993], 'min': [67.25000762939453, -96.8499984741211, -1.3827733993530273], 'type': 'AABB', 'world_P_center': [67.65000915527344, -95.97607421875, -0.6959004998207092], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996306998, Position: (67.60814666748047, -97.00855255126953, -0.5928628444671631), Name: building, Bounding Box: {'max': [68.05000305175781, -96.1500015258789, -0.013088300824165344], 'min': [67.50574493408203, -97.65000915527344, -1.149999976158142], 'type': 'AABB', 'world_P_center': [67.77787780761719, -96.90000915527344, -0.5815441608428955], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996306999, Position: (72.37770080566406, -87.8049545288086, 0.27848318219184875), Name: building, Bounding Box: {'max': [73.32333374023438, -86.25, 2.25], 'min': [71.42739868164062, -89.25, -1.4500000476837158], 'type': 'AABB', 'world_P_center': [72.3753662109375, -87.75, 0.3999999761581421], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996307000, Position: (75.3000717163086, -83.74050903320312, 0.37019363045692444), Name: building, Bounding Box: {'max': [75.7921371459961, -83.20787048339844, 2.25], 'min': [74.94999694824219, -84.25, -1.4500000476837158], 'type': 'AABB', 'world_P_center': [75.37106323242188, -83.72893524169922, 0.3999999761581421], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996307001, Position: (86.63204956054688, -71.07717895507812, 2.0734870433807373), Name: building, Bounding Box: {'max': [86.94999694824219, -70.84020233154297, 2.6499998569488525], 'min': [86.45000457763672, -71.35588073730469, -1.4959694147109985], 'type': 'AABB', 'world_P_center': [86.69999694824219, -71.09803771972656, 0.577015221118927], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996307004, Position: (86.79708099365234, -67.52500915527344, -1.5186994075775146), Name: pole, Bounding Box: {'max': [87.8499984741211, -65.65000915527344, -1.4966281652450562], 'min': [85.8499984741211, -68.35000610351562, -1.538989543914795], 'type': 'AABB', 'world_P_center': [86.8499984741211, -67.00000762939453, -1.5178089141845703], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996307005, Position: (92.21285247802734, -61.63401412963867, -1.4539549350738525), Name: pole, Bounding Box: {'max': [92.95000457763672, -60.90639114379883, -0.9499999284744263], 'min': [90.75, -62.75, -1.682159185409546], 'type': 'AABB', 'world_P_center': [91.85000610351562, -61.82819366455078, -1.3160796165466309], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996307006, Position: (85.37229919433594, -37.84756851196289, 0.9891532063484192), Name: pole, Bounding Box: {'max': [85.59754943847656, -37.702457427978516, 2.25], 'min': [85.11100006103516, -38.001922607421875, -0.4381468892097473], 'type': 'AABB', 'world_P_center': [85.35427856445312, -37.85218811035156, 0.9059265851974487], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996307008, Position: (72.77872467041016, -22.29131507873535, -0.21134382486343384), Name: building, Bounding Box: {'max': [74.3499984741211, -21.419147491455078, 1.4500000476837158], 'min': [71.1500015258789, -23.15652847290039, -1.5500000715255737], 'type': 'AABB', 'world_P_center': [72.75, -22.287837982177734, -0.050000011920928955], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996307009, Position: (67.03661346435547, -22.564048767089844, 1.9332146644592285), Name: building, Bounding Box: {'max': [68.48062133789062, -21.537757873535156, 2.392145872116089], 'min': [64.6739501953125, -23.950000762939453, -0.316837877035141], 'type': 'AABB', 'world_P_center': [66.57728576660156, -22.743879318237305, 1.0376540422439575], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996307013, Position: (67.36048889160156, -23.05335235595703, -1.3022441864013672), Name: pole, Bounding Box: {'max': [67.58706665039062, -21.930044174194336, -0.8039504289627075], 'min': [66.75, -23.549999237060547, -1.5500000715255737], 'type': 'AABB', 'world_P_center': [67.16853332519531, -22.740020751953125, -1.1769752502441406], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996307015, Position: (57.1983757019043, -33.92221450805664, 2.1157028675079346), Name: building, Bounding Box: {'max': [57.95901107788086, -33.109954833984375, 2.25], 'min': [56.25, -34.750003814697266, 1.9547526836395264], 'type': 'AABB', 'world_P_center': [57.10450744628906, -33.92997741699219, 2.1023764610290527], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996307018, Position: (57.03721618652344, -34.91816329956055, -1.3009589910507202), Name: pole, Bounding Box: {'max': [57.83491897583008, -34.304256439208984, -1.116183876991272], 'min': [56.04999923706055, -35.75, -1.350000023841858], 'type': 'AABB', 'world_P_center': [56.94245910644531, -35.027130126953125, -1.233091950416565], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996307019, Position: (57.721866607666016, -34.360599517822266, 0.950347363948822), Name: pole, Bounding Box: {'max': [57.783203125, -34.23432159423828, 1.5693976879119873], 'min': [57.613365173339844, -34.48663330078125, 0.2224329710006714], 'type': 'AABB', 'world_P_center': [57.69828414916992, -34.360477447509766, 0.8959153294563293], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996307021, Position: (54.8242073059082, -32.8446044921875, -0.17297206819057465), Name: pole, Bounding Box: {'max': [55.11349868774414, -32.63486099243164, 1.5980931520462036], 'min': [53.349998474121094, -33.85000228881836, -1.3459018468856812], 'type': 'AABB', 'world_P_center': [54.23175048828125, -33.242431640625, 0.12609565258026123], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996307022, Position: (54.06230926513672, -34.94077682495117, 0.028823548927903175), Name: building, Bounding Box: {'max': [54.17522430419922, -34.79391860961914, 0.9500000476837158], 'min': [53.849998474121094, -35.062503814697266, -0.8499999642372131], 'type': 'AABB', 'world_P_center': [54.012611389160156, -34.9282112121582, 0.05000004172325134], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
